data_id,region,data_state,account_status,purchasegroup,consumer_dob,chargeoff_age,working_age,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,data_bal_total,chargeoff_date,chargeoff_date_bom,chargeoffamt,chargeoffamt_present,judgment_status,judgment_active,acct_post_judgment,judgment_date,days_between_chargeoff_and_judgment,judgment_amount,judgment_amount_present,chargeoff_precovid(2020-03-01),judgment_precovid(2020-03-01),total_transactions,num_payments,num_reversals,net_num_payments,sum_pay_amount,avg_pay_amount,min_pay_date,max_pay_date,payment_duration_days,avg_days_between_payments,avg_monthly_payment(duration>=365days),days_between_chargeoff_and_min_pay_date,days_between_chargeoff_and_max_pay_date,days_between_judgment_and_min_pay_date,days_between_judgment_and_max_pay_date,min_payment_within_5_years_of_chargeoff,closed_w_max_pmt_within_5_yrs_of_min_pmt,max_pmt_within_5_yrs_of_min_pmt_within_5_yrs_of_chargeoff
150995,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1975,28,1,1,1,1,0,0,0,1,0,7957.36,2002-08,01/08/2002,,0,Dormant,0,1,27/10/2005,1183,6368.74,1,1,1,,,,,,,,,,,,,,,,0,,
151034,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1957,41,1,1,1,1,0,0,0,1,0,10419.57,1998-06,01/06/1998,,0,Active,1,1,22/12/2003,2030,7061,1,1,1,,,,,,,,,,,,,,,,0,,
151115,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1963,42,1,1,1,1,1,1,0,1,1,3182.73,2005-03,01/03/2005,,0,Active,1,1,17/04/2007,777,1663.32,1,1,1,1,1,0,1,1816.42,1816.42,16/11/2021,16/11/2021,1,0,,6104,6104,5327,5327,0,0,
151125,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1958,48,1,1,1,1,0,0,0,1,1,6454.58,2005-10,01/10/2005,,0,Active,1,1,06/03/2007,521,2208.9,1,1,1,,,,,,,,,,,,,,,,0,,
151720,northeast,NY,Placement (3); Active,Dormant Judgment,01/01/1979,22,1,1,0,1,0,0,1,1,1,26125.35,2001-06,01/06/2001,,0,Active,1,1,18/12/2006,2026,10799.61,1,1,1,10,9,1,8,800,100,15/09/2003,15/05/2004,244,30.375,,836,1079,-1190,-947,1,0,
151802,west,CA,Closed (9); SIF,Suit,01/01/1978,40,1,0,1,1,0,0,0,0,0,185.39,2017-07,01/07/2017,1260.97,1,Dismissed With Prejudice,0,1,,,,0,1,,2,2,0,2,1050.58,525.29,04/06/2019,04/06/2019,1,0,,703,703,,,1,1,1
152128,northeast,NY,Closed (9); PIF,Dormant Judgment,01/01/1982,22,1,1,1,1,0,1,0,1,1,0.01,2003-11,01/11/2003,,0,Active,1,1,18/03/2009,1964,1052.98,1,1,1,8,8,0,8,1957.62,244.7025,18/07/2017,15/02/2018,213,26.5,,5008,5220,3044,3256,0,1,
152142,southwest,TX,Closed (9); PIF,Dormant Judgment,01/01/1968,40,1,1,1,0,1,0,0,1,1,16.16,2007-11,01/11/2007,,0,Satisfied,0,1,28/07/2011,1365,2275.09,1,1,1,9,9,0,9,2998.93,333.2144444,30/09/2017,31/05/2018,244,27,,3621,3864,2256,2499,0,1,
152214,northeast,NJ,Closed (9); PIF,Dormant Judgment,01/01/1978,22,1,0,1,1,0,1,0,0,0,0,2000-04,01/04/2000,3608.44,1,Satisfied,0,1,22/08/2005,1969,4972.3,1,1,1,2,2,0,2,184.61,92.305,21/04/2020,21/05/2020,31,15,,7325,7355,5356,5386,0,1,
152399,west,WA,Closed (9); SIF,Dormant Judgment,01/01/1968,39,1,1,0,1,0,1,0,1,0,6344.85,2007-02,01/02/2007,3685.26,1,Pending,0,0,24/04/2009,813,5045.47,1,1,1,2,2,0,2,3685,1842.5,27/02/2019,29/03/2019,31,15,,4409,4439,3596,3626,0,1,
